,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Connection Size,Diameter,Range,Hazardous,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Operating Temperature Range (C),Size,Connection Type 1,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Gender,Connection Type 2,Feature 7,Feature 8,Feature 9,Connection Type,End Connection B size,Feature 10,Feature 11,Feature 12,Feature 13,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Feature 14,Colour,Weight,Standards,Attachment 8,Attachment 9,Attachment 10,Attachment 11
52,PP16607,VULC L152 ENF FI TO PIPE COUPLER      51,Durapipe,26.39,"Made of polypropylene, this 51mm Durapipe Vulcathene L152 FI to pipe coupler fitting is equipped with an enfusion socket on one end and a female thread on the other end. Chemical-resistant, this coupler is part of a purpose-designed plumbing system is suitable for labs in schools, universities, hospitals and research facilities.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> VULC L152 ENF FI TO PIPE COUPLER      51",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/07/NW-P16607_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Vulcathene_Technical_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PP96633,"TP RB0.GYL 45deg abs elbow 1""",TP,13.59,"This TP RB0.GYL 1 x 1"" 45° elbow is made of high impact, highly elastic ABS. Pressure ratings for thermoplastic pipe and fittings carrying water are quoted at 20°C and where the temperature increases, the working pressure must be reduced. ABS is resistant to most diluted inorganic acids, bases and salts and most animal oils and fats.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> TP RB0.GYL 45deg abs elbow 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/39/NW-P96631_P96639_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/P57811_P57903_Georg Fischer_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PM32362,Geberit FlowFit 620.121.00.1 Reducing tee 16 x 20 x 16mm,Geberit,8.88,"Part of a comprehensive system, this Geberit FlowFit 16 x 20 x 16mm reducing tee is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technical build","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Geberit FlowFit 620.121.00.1 Reducing tee 16 x 20 x 16mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32362_Primary_Image_wm.jpg,,,,,,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21945,Unequal,16 mm,16 mm,PPSU Polyphenylsulfone,,16 x 20 x 16mm,,620.121.00.1,tee,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,,,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,Press Fit,20 mm,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,,,,,,,,,,,,
55,PP65449,Philmac 3G universal transition couplings 32 x 39-4mm,Philmac,39.81,"This Philmac 3G coupler with 39 to 43 x 32mm/1"" UTC x POL end connections is made of high performance polypropylene (PP) for good impact resistance and resistance to UV, chemicals and corrosion. Non-toxic and taint-free, this Philmac compression fitting is suitable for a wide range of plumbing, commercial, agricultural, industrial and residential applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Philmac 3G universal transition couplings 32 x 39-4mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/50/NW-P65449_P65450_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PP96646,"TP RB0.MAL abs socket 2""",TP,15.72,"This TP RB0.MAL 2 x 2"" socket is made of high impact, highly elastic ABS. Pressure ratings for thermoplastic pipe and fittings carrying water are quoted at 20°C and where the temperature increases, the working pressure must be reduced. ABS is resistant to most diluted inorganic acids, bases and salts and most animal oils and fats.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> TP RB0.MAL abs socket 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/46/NW-P96641_P96646_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/P57811_P57903_Georg Fischer_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,P519700,"Pegler Kuterlite male coupling 15mm x 1/2""",Pegler,5.62,"This Kuterlite K611P 15mm x 1/2"" coupling with copper x BSP male parallel thread ends is a non-manipulative (Type A) duplex brass compression fitting. It is suitable for use on closed circuit central heating systems, in above ground hot and cold water services, on compressed air lines, in oil and other fluids and in LPG and low pressure gas services. This fitting is made up of a one piece body and includes symmetrical compression rings made of dezincification-resistant alloy and hexagonal duplex brass nuts.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Pegler Kuterlite male coupling 15mm x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/03/NW-519700_519703_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Kuterlite_Pro_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bl/es/Pegler_Pressure_Loss_Tables.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ce/rt/Kuterlite_K600_WRAS_Cert.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/ve/Pegler_KuterlitPrsrDropChartChkValve.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kuterlite_600_900_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Kuterlite_CompressionFitting_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ce/rt/Kuterlite_K600_900_Pro_KIWA_Cert.pdf,,,,,,,,
58,PM32350,Geberit FlowFit 620.103.00.1 Reducing tee 32 x 25 x 25mm,Geberit,19.48,"Part of a comprehensive system, this Geberit FlowFit 32 x 25 x 25mm reducing tee is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technical build","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Geberit FlowFit 620.103.00.1 Reducing tee 32 x 25 x 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32350_Primary_Image_wm.jpg,,,,,,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21969,Unequal,32 mm,25 mm,PPSU Polyphenylsulfone,,32 x 25 x 25mm,,620.103.00.1,tee,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,,,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,Press Fit,25 mm,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,,,,,,,,,,,,
59,PF50809,"Georg Fischer Aquasystem female adaptor union 3/4"" x 25mm",Georg Fischer,57.76,"Made to connect metal with plastic pipes, this Georg Fischer Aquasystem 25mm x 3/4"" G-type union socket is made from PP-R copolymer material. The entire range of Aquasystem adapters and transitions ensures always reliable connecting while allowing for flexible installation.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Georg Fischer Aquasystem female adaptor union 3/4"" x 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/09/NW-F50809_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ge/Georg_Fischer_Product_Range.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/em/GFPS_Product_Range_Aqua_System.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PM32461,"Geberit FlowFit 620.411.00.1 Female adaptor 20mm x 1/2""",Geberit,9.19,"Part of a comprehensive system, this Geberit FlowFit 20mm x 1/2"" female adapter is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technical buildi","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Geberit FlowFit 620.411.00.1 Female adaptor 20mm x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32461_Primary_Image_wm.jpg,,,,,,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21955,Unequal,20 mm,,PPSU PolyphenylsulfoneLead-free silicon bronze (CuZn21Si3P),,Fe20mm x 1/2,,620.411.00.1,Female Adaptor,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,,,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,Press Fit,12,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,,,,,,,,,,,,
61,PF50856,"Georg Fischer Aquasystem round male socket 3/4"" x 32mm",Georg Fischer,28.11,"This Georg Fischer Aquasystem 32mm x 3/4"" BSPT coupler is part of a light, economical and corrosion-free polypropylene-random piping system. Suitable for commercial use, it can be used for riser and distribution runs in heating, domestic hot water, mains cold water and chilled water services.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Georg Fischer Aquasystem round male socket 3/4"" x 32mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/56/NW-F50856_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ge/Georg_Fischer_Product_Range.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/em/GFPS_Product_Range_Aqua_System.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PM32348,Geberit FlowFit 620.101.00.1 Reducing tee 20 x 16 x 16mm,Geberit,8.88,"Part of a comprehensive system, this Geberit FlowFit 20 x 16 x 16mm reducing tee is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technical build","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Geberit FlowFit 620.101.00.1 Reducing tee 20 x 16 x 16mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32348_Primary_Image_wm.jpg,,,,,,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21968,Unequal,20 mm,16 mm,PPSU Polyphenylsulfone,,20 x 16 x 16mm,,620.101.00.1,tee,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,,,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,Press Fit,16mmØ,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,,,,,,,,,,,,
63,PM32355,Geberit FlowFit 620.111.00.1 Reducing tee 20 x 16 x 20mm,Geberit,8.88,"Part of a comprehensive system, this Geberit FlowFit 20 x 16 x 20mm reducing tee is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technical build","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Geberit FlowFit 620.111.00.1 Reducing tee 20 x 16 x 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32355_Primary_Image_wm.jpg,,,,,,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21971,Unequal,20 mm,20 mm,PPSU Polyphenylsulfone,,20 x 16 x 20mm,,620.111.00.1,tee,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,,,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,Press Fit,16mmØ,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,,,,,,,,,,,,
64,PP96641,"TP RB0.MAL abs socket 1/2""",TP,4.27,"This TP RB0.MAL 1/2 x 1/2"" socket is made of high impact, highly elastic ABS. Pressure ratings for thermoplastic pipe and fittings carrying water are quoted at 20°C and where the temperature increases, the working pressure must be reduced. ABS is resistant to most diluted inorganic acids, bases and salts and most animal oils and fats.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> TP RB0.MAL abs socket 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/46/NW-P96641_P96646_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/P57811_P57903_Georg Fischer_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PP96039,"TP RV0.GYL 45deg upvc elbow (bsp) 4""",TP,67.94,"This TP 4 x 4"" 45° elbow is made of PVC-U with solvent cement connections. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> TP RV0.GYL 45deg upvc elbow (bsp) 4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/39/NW-P96038_P96039_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PP04540,"Georg Fischer PROGEF pp parallel tapered adapter socket 50mm x 1.1/2""",Georg Fischer,21.7,"Made of polypropylene (PP), this Georg Fischer PROGEF 50mm x 1 1/2"" parallel tapered adapter socket is fitted with a metric reinforced fusion socket and BSP taper thread. Designed for use in a variety of applications, PROGEF is particularly suited to the systems used in waste and water treatment or chemical and cooling water processing.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Georg Fischer PROGEF pp parallel tapered adapter socket 50mm x 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/40/NW-P04540_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/GF_PROGEF_Std_Adaptor_Socket_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ly/er/GF_PROGEF_Standard_System_Spec_Flyer.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/GF_Marine_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GF_PROGEF_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/GF_PROGEF_Piping_System_Technical.pdf,,,,,,,,,,
