,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Flow Rate,Range,Voltage (V),Warranty,Phase,Hazardous,Output,Depth (mm),Rated Speed,Enclosure Class,Frequency,Pressure Rating,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Attachment 4,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Weight,Attachment 5,Attachment 6,Feature 20,Feature 21,Feature 22
36,P126270,"Grundfos Magna 1 65-150 F 340 circulating pump 340mm 1"" x 230V PN6/10",Grundfos,3922.0,"A simple solution for basic system control and monitoring, the Grundfos MAGNA1 65 - 150 F circulator pump is ideal for replacing older circulators. Complying with EuP 2015 regulations, MAGNA1 offers high efficiency in main pump, mixing loops and heating surfaces as well as air conditioning surfaces, ground source heat pump systems and small chiller applications. It is suitable for use in commercial air conditioning, heating and hot water recirculation, district cooling and heating, domestic hot water recirculation, heating and cooling and industrial heating.","Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Grundfos Magna 1 65-150 F 340 circulating pump 340mm 1"" x 230V PN6/10",,MAGNA1 pump;Insulating shells;Gaskets;Quick guide;Safety instructions;1x ALPHA plug,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/70/NW-126270_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA1_Model_C_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA1_Model_C_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_MAGNA1_Model_C_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA1_Model_C_Brochure.pdf,,,,,,,,,,,,,,,,,,,
37,P141709,Wilo Stratos MAXO-D 50/05-16 R7,Wilo,6468.0,"Suitable for domestic or light commercial use, the Wilo Stratos Maxo-D 50/05-16 R7 is compatible with central heating, cooling, underfloor heating and air conditioning systems and can be used with water/glycol mixtures. An inline glandless twin head smart pump with one touch commissioning, Maxo-D incorporates an EC motor and electronic power adjustment as well as efficiency enhancing permeant automatic performance adaptation. A range of clever features, including heating and cooling quantity measurement and dry running detection are included. Automatic no-flow stop, meanwhile, deactivates the pump in the absence of flow, reducing the risk of dry-running damage. With two pumps, one running and one on standby, Maxo-D ensures uninterrupted service, activating the back-up in case of a fault.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Wilo Stratos MAXO-D 50/05-16 R7,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/xo/Wilo_Stratos_Maxo_wm.jpg,,,,Black/Green,51.0 m³/h,Stratos,230,3 Years,1,N,1.48 kW,340,3200,IPX4D,50/60,10 bar,CE;EAC;VDE,2217982,Commercial Circulating Pump,N,Compatible with Wilo-Assistant app for commissioning via Bluetooth,Automatic pump venting function and full motor protection prevents failure,Thermal insulation shell for efficiency,Ability to save and restore configured pump settings,Plug-and-play wiring with Wilo connection plug,No tools required for installation,,Large LCD display for easy commissioning,Automatic setback operation and deblocking function,Adjustable volume flow limiter,Energy efficiency index (EEI) of less than 0.17,Fluid temperature -10°C to +90°C,Maximum operating pressure of 10 bar,Port-to-port length 340mm,Flange DN50 pipe connection,Maximum head 16M,IPX4D rated,3 year warranty,,,,,,,,
38,P126198,"Grundfos Magna 1 25-100 N 180 circulating pump 180mm x 1"" 230V PN10",Grundfos,1602.0,"A simple solution for basic system control and monitoring, the Grundfos MAGNA1 25 - 100 N circulator pump is ideal for replacing older circulators. Complying with EuP 2015 regulations, MAGNA1 offers high efficiency in main pump, mixing loops and heating surfaces as well as air conditioning surfaces, ground source heat pump systems and small chiller applications. It is suitable for use in commercial air conditioning, heating and hot water recirculation, district cooling and heating, domestic hot water recirculation, heating and cooling and industrial heating. MAGNA1 N is the stainless steel version of this pump, ideal for domestic hot water requirements.","Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Grundfos Magna 1 25-100 N 180 circulating pump 180mm x 1"" 230V PN10",,MAGNA1 pump;Insulating shells;Gaskets;Quick guide;Safety instructions;1x ALPHA plug,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/98/NW-126197_126198_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA1_Model_C_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA1_Model_C_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_MAGNA1_Model_C_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA1_Model_C_Brochure.pdf,,,,,,,,,,,,,,,,,,,
39,P141706,Wilo Stratos STRATOS MAXO-D 50/05-8 R7 MAXO-D 50/05-8 R7,Wilo,4560.71,"A highly efficient glandless pump, the Wilo Stratos MAXO-D 50/05-8 R7 includes an EC motor and electronic power adjustment. This single phase, IPX4D rated pump is suitable for use in cold water, heating water and water/glycol mixtures.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Wilo Stratos STRATOS MAXO-D 50/05-8 R7 MAXO-D 50/05-8 R7,,IPX4D,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/xo/Wilo_Stratos_Maxo_wm.jpg,,,,Black / Green / Grey,0-11.5 L/sec,Stratos,230,3 Year Limited,1,N,0.78 kW,390,750 - 4350,IPX4D,5660,10 bar,REACHCEEACUKCA,2217979,Circulator Pump,N,Twin Head,Heat quantity measurement,Cooling quantity measurement,Pump automatically deactivates when no flow is detected (No-Flow Stop),"Switchover between heating and cooling mode (automatic, external or manual)",Adjustable volume flow limiter using the Q-Limit function (Qmin. and Qmax.),,"Operating modes of twin-head pumps: Efficiency-optimised parallel operation for dp-c and dp-v, main and standby operation",Ability to save and restore configured pump settings (3 restoration points),Fault and warning messages shown in plain text with advice on resolving the issue,Pump venting function for automatic venting of the rotor chamber,Automatic setback operation,Automatic deblocking function and integrated full motor protection,Dry-running detection,,,,,,,,,,,,
40,P141844,Grundfos Magna 3 D 65-120 F 340 circulating pump 1 x 230V PN6/10,Grundfos,6657.56,"Ideal for creating high performance heating and cooling systems, the Grundfos MAGNA3 65 - 120 F single phase circulator pump is suitable for new installations and refits, offering excellent efficiency and built-in communication capabilities. With a canned rotor, this pump is a maintenance-free integral unit with no shaft seal and just two gaskets for sealing, while bearings are lubricated by the pumped liquid. Wirelessly connecting with the Grundfos GO Remote app, for advanced reporting and monitoring, MAGNA3 is suitable for mixing loops, heating and air conditioning surfaces, ground source heat pumps and small chillers and includes fieldbus communication via CIM modules as well analogue and digital inputs and configurable relays. Features include FLOWADAPT, reducing the requirement for throttling valves, and a built-in differential pressure and temperature sensor.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Grundfos Magna 3 D 65-120 F 340 circulating pump 1 x 230V PN6/10,,MAGNA3 pump;Insulating shells;Gaskets;Quick guide;Safety instructions;1x ALPHA plug,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/45/NW-141843_141845_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA3_Model_D_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA3_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grundfos_MAGNA3_Model_D_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA3_instructions.pdf,,,,,,,,,,,,,,,,,,,
41,P126259,"Grundfos Magna 1 D 50-180 F 280 circulating pump 280mm 1"" x 230V PN6/10",Grundfos,7646.9,"A simple solution for basic system control and monitoring, the Grundfos MAGNA1 D 50 - 180 F circulator pump is ideal for replacing older circulators. Complying with EuP 2015 regulations, MAGNA1 offers high efficiency in main pump, mixing loops and heating surfaces as well as air conditioning surfaces, ground source heat pump systems and small chiller applications. It is suitable for use in commercial air conditioning, heating and hot water recirculation, district cooling and heating, domestic hot water recirculation, heating and cooling and industrial heating.","Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Grundfos Magna 1 D 50-180 F 280 circulating pump 280mm 1"" x 230V PN6/10",,MAGNA1 pump;Gaskets;Quick guide;Safety instructions;2x ALPHA plug,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/59/NW-126256_126259_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA1_Model_C_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_MAGNA1_Model_C_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA1_Model_C_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA1_Model_C_Brochure.pdf,,,,,,,,,,,,,,,,,,,
42,P163956,Wilo Yonos Maxo-D 40/0 5-12 PN6/10  twin head pump,Wilo,2255.3,"Plug & play wiring with the Wilo connection plug – no tools needed!;LED display for easy commissioning.;Fault light and collective fault signal to ensure system availability.;Self-venting and deblocking function with integrated full motor protection to prevent failure.;Thermal insulation shell for increasing energy efficiency, saving you money.;Pre-selectable control modes for optimum load adjustment.;Energy efficiency index (EEI) of less than 0.23;Fluid temperature -20°C to +110°C;Max operating pressure: 10 bar;Port-to-port length: 250mm;Pipe connection: Flange DN 40;Max head: 12m",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Wilo Yonos Maxo-D 40/0 5-12 PN6/10  twin head pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/56/163956_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wilo_REACH_Regulation_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wilo_Yonos_MAXO_D_Z_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wilo_Stratos_Yonos_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wilo_Yonos_MAXO_D_Installation.pdf,,,,,,,,,,,,,,,,,,,
43,P149305,Grundfos UP 20-45N 1 phase hotwater system circulating pump no fittings,Grundfos,488.41,"Featuring a corrosion-free stainless steel pump housing, this Grundfos UP 20-45N 150 circulator pump is ideal for domestic hot water recirculation and underfloor heating systems. Suitable for connection to an on/off time switch to limit pump operation to periods when hot water is usually needed, this canned rotor pump houses its pump and motor in a single integral unit with no shaft seal and just two gaskets for sealing, keeping maintenance costs to an absolute minimum.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Grundfos UP 20-45N 1 phase hotwater system circulating pump no fittings,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/10/NW-149305_149310_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Wide_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_UP_UPS_UPSD_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,P126245,"Grundfos MAGNA 1 circulating pump 250mm 1"" x 230V PN6/10",Grundfos,3319.1,"A simple solution for basic system control and monitoring, the Grundfos MAGNA1 40 - 120 F N circulator pump is ideal for replacing older circulators. Complying with EuP 2015 regulations, MAGNA1 offers high efficiency in main pump, mixing loops and heating surfaces as well as air conditioning surfaces, ground source heat pump systems and small chiller applications. It is suitable for use in commercial air conditioning, heating and hot water recirculation, district cooling and heating, domestic hot water recirculation, heating and cooling and industrial heating. MAGNA1 N is the stainless steel version of this pump, ideal for domestic hot water requirements.","Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Grundfos MAGNA 1 circulating pump 250mm 1"" x 230V PN6/10",,MAGNA1 pump;Insulating shells;Gaskets;Quick guide;Safety instructions;1x ALPHA plug,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/46/NW-126244_126246_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA1_Model_C_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA1_Model_C_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_MAGNA1_Model_C_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA1_Model_C_Brochure.pdf,,,,,,,,,,,,,,,,,,,
45,P126211,"Grundfos Magna 1 32-60 N 180 circulating pump 180mm x 1"" 230V PN10",Grundfos,1539.2,"A simple solution for basic system control and monitoring, the Grundfos MAGNA1 32 - 60 N circulator pump is ideal for replacing older circulators. Complying with EuP 2015 regulations, MAGNA1 offers high efficiency in main pump, mixing loops and heating surfaces as well as air conditioning surfaces, ground source heat pump systems and small chiller applications. It is suitable for use in commercial air conditioning, heating and hot water recirculation, district cooling and heating, domestic hot water recirculation, heating and cooling and industrial heating. MAGNA1 N is the stainless steel version of this pump, ideal for domestic hot water requirements.","Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Grundfos Magna 1 32-60 N 180 circulating pump 180mm x 1"" 230V PN10",,MAGNA1 pump;Insulating shells;Gaskets;Quick guide;Safety instructions;1x ALPHA plug,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/11/NW-126211_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA1_Model_C_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA1_Model_C_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_MAGNA1_Model_C_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA1_Model_C_Brochure.pdf,,,,,,,,,,,,,,,,,,,
46,PS25151,Dab Pumps VS 3 speed bronze circulator pump,Dab Pumps,445.0,"Designed to circulate hot water, the Dab Pumps VS 0.0022kW 230V circulating pump is suitable for use in a pressurised closed circuit or open circulation-type domestic heating or air conditioning system. Robustly made, VS incorporates a hydraulic section and wet rotor motor in a single body.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Dab Pumps VS 3 speed bronze circulator pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/51/NW-S25151_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Dab_Pumps_VS_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,P141434,Grundfos Magna 3 D 32-100 F 220 circulating pump 1 x 230V PN6/10,Grundfos,2586.95,"Ideal for creating high performance heating and cooling systems, the Grundfos MAGNA3 32 - 100 F single phase circulator pump is suitable for new installations and refits, offering excellent efficiency and built-in communication capabilities. With a canned rotor, this pump is a maintenance-free integral unit with no shaft seal and just two gaskets for sealing, while bearings are lubricated by the pumped liquid. Wirelessly connecting with the Grundfos GO Remote app, for advanced reporting and monitoring, MAGNA3 is suitable for mixing loops, heating and air conditioning surfaces, ground source heat pumps and small chillers and includes fieldbus communication via CIM modules as well analogue and digital inputs and configurable relays. Features include FLOWADAPT, reducing the requirement for throttling valves, and a built-in differential pressure and temperature sensor.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Grundfos Magna 3 D 32-100 F 220 circulating pump 1 x 230V PN6/10,,MAGNA3 pump;Insulating shells;Gaskets;Quick guide;Safety instructions;1x ALPHA plug,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/36/NW-141434_141436_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA3_Model_D_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grundfos_MAGNA3_Model_D_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA3_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA3_instructions.pdf,,,,,,,,,,,,,,,,,,,
48,P141420,Grundfos MAGNA3 hot water circulating pump PN10,Grundfos,1232.41,"Ideal for creating high performance heating and cooling systems, the Grundfos MAGNA3 25 - 80 N single phase circulator pump is suitable for new installations and refits, offering excellent efficiency and built-in communication capabilities. With a canned rotor, this pump is a maintenance-free integral unit with no shaft seal and just two gaskets for sealing, while bearings are lubricated by the pumped liquid. Wirelessly connecting with the Grundfos GO Remote app, for advanced reporting and monitoring, MAGNA3 is suitable for mixing loops, heating and air conditioning surfaces, ground source heat pumps and small chillers and includes fieldbus communication via CIM modules as well analogue and digital inputs and configurable relays. Features include FLOWADAPT, reducing the requirement for throttling valves, and a built-in differential pressure and temperature sensor.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Grundfos MAGNA3 hot water circulating pump PN10,,MAGNA3 pump;Insulating shells;Gaskets;Quick guide;Safety instructions;1x ALPHA plug,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/22/NW-141418_141422_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA3_Model_D_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grundfos_MAGNA3_Model_D_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA3_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA3_instructions.pdf,,,,,,,,,,,,,,,,,,,
49,P141417,Grundfos Magna 3 40-60 F 220 circulating pump 1 x 230V PN6/10,Grundfos,1077.49,"Ideal for creating high performance heating and cooling systems, the Grundfos MAGNA3 40 - 60 F single phase circulator pump is suitable for new installations and refits, offering excellent efficiency and built-in communication capabilities. With a canned rotor, this pump is a maintenance-free integral unit with no shaft seal and just two gaskets for sealing, while bearings are lubricated by the pumped liquid. Wirelessly connecting with the Grundfos GO Remote app, for advanced reporting and monitoring, MAGNA3 is suitable for mixing loops, heating and air conditioning surfaces, ground source heat pumps and small chillers and includes fieldbus communication via CIM modules as well analogue and digital inputs and configurable relays. Features include FLOWADAPT, reducing the requirement for throttling valves, and a built-in differential pressure and temperature sensor.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Grundfos Magna 3 40-60 F 220 circulating pump 1 x 230V PN6/10,,MAGNA3 pump;Insulating shells;Gaskets;Quick guide;Safety instructions;1x ALPHA plug,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/17/NW-141416_141417_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA3_Model_D_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA3_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grundfos_MAGNA3_Model_D_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA3_instructions.pdf,,,,,,,,,,,,,,,,,,,
50,P141408,Grundfos MAGNA3 25-80 180 1X230V,Grundfos,795.23,"Ideal for creating high performance heating and cooling systems, the Grundfos MAGNA3 25 - 80 single phase circulator pump is suitable for new installations and refits, offering excellent efficiency and built-in communication capabilities. With a canned rotor, this pump is a maintenance-free integral unit with no shaft seal and just two gaskets for sealing, while bearings are lubricated by the pumped liquid. Wirelessly connecting with the Grundfos GO Remote app, for advanced reporting and monitoring, MAGNA3 is suitable for mixing loops, heating and air conditioning surfaces, ground source heat pumps and small chillers and includes fieldbus communication via CIM modules as well analogue and digital inputs and configurable relays. Features include FLOWADAPT, reducing the requirement for throttling valves, and a built-in differential pressure and temperature sensor.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Grundfos MAGNA3 25-80 180 1X230V,,MAGNA3 pump;Insulating shells;Gaskets;Quick guide;Safety instructions;1x ALPHA plug,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/14/NW-141406_141414_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA3_Model_D_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grundfos_MAGNA3_Model_D_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA3_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA3_instructions.pdf,,,,,,,,,,,,,,,,,,,
51,P145048,Wilo TOP-Z 1-phase bare pump Bronze,Wilo,720.0,"Suitable for drinking water use, this Wilo TOP-Z 25/6 circulator is designed for domestic hot water circulation systems in the industry and building services. Maintenance-free, this glandless circulator has threaded or flanged connections and pre-selectable speed stages for power adjustment.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Wilo TOP-Z 1-phase bare pump Bronze,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/48/NW-145048_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wilo_REACH_Regulation_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
